name;offset;size;description;bitfield
mca;0;10816;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...size;32;32;;0
...core_mca.core0.bank0.status;64;64;;0
..addr;128;64;;0
..misc;192;64;;0
...bank1.status;256;64;;0
..addr;320;64;;0
..misc;384;64;;0
...bank2.status;448;64;;0
..addr;512;64;;0
..misc;576;64;;0
...bank3.status;640;64;;0
..addr;704;64;;0
..misc;768;64;;0
....core1.bank0.status;832;64;;0
..addr;896;64;;0
..misc;960;64;;0
...bank1.status;1024;64;;0
..addr;1088;64;;0
..misc;1152;64;;0
...bank2.status;1216;64;;0
..addr;1280;64;;0
..misc;1344;64;;0
...bank3.status;1408;64;;0
..addr;1472;64;;0
..misc;1536;64;;0
....core2.bank0.status;1600;64;;0
..addr;1664;64;;0
..misc;1728;64;;0
...bank1.status;1792;64;;0
..addr;1856;64;;0
..misc;1920;64;;0
...bank2.status;1984;64;;0
..addr;2048;64;;0
..misc;2112;64;;0
...bank3.status;2176;64;;0
..addr;2240;64;;0
..misc;2304;64;;0
....core3.bank0.status;2368;64;;0
..addr;2432;64;;0
..misc;2496;64;;0
...bank1.status;2560;64;;0
..addr;2624;64;;0
..misc;2688;64;;0
...bank2.status;2752;64;;0
..addr;2816;64;;0
..misc;2880;64;;0
...bank3.status;2944;64;;0
..addr;3008;64;;0
..misc;3072;64;;0
....core4.bank0.status;3136;64;;0
..addr;3200;64;;0
..misc;3264;64;;0
...bank1.status;3328;64;;0
..addr;3392;64;;0
..misc;3456;64;;0
...bank2.status;3520;64;;0
..addr;3584;64;;0
..misc;3648;64;;0
...bank3.status;3712;64;;0
..addr;3776;64;;0
..misc;3840;64;;0
....core5.bank0.status;3904;64;;0
..addr;3968;64;;0
..misc;4032;64;;0
...bank1.status;4096;64;;0
..addr;4160;64;;0
..misc;4224;64;;0
...bank2.status;4288;64;;0
..addr;4352;64;;0
..misc;4416;64;;0
...bank3.status;4480;64;;0
..addr;4544;64;;0
..misc;4608;64;;0
....core6.bank0.status;4672;64;;0
..addr;4736;64;;0
..misc;4800;64;;0
...bank1.status;4864;64;;0
..addr;4928;64;;0
..misc;4992;64;;0
...bank2.status;5056;64;;0
..addr;5120;64;;0
..misc;5184;64;;0
...bank3.status;5248;64;;0
..addr;5312;64;;0
..misc;5376;64;;0
....core7.bank0.status;5440;64;;0
..addr;5504;64;;0
..misc;5568;64;;0
...bank1.status;5632;64;;0
..addr;5696;64;;0
..misc;5760;64;;0
...bank2.status;5824;64;;0
..addr;5888;64;;0
..misc;5952;64;;0
...bank3.status;6016;64;;0
..addr;6080;64;;0
..misc;6144;64;;0
....core8.bank0.status;6208;64;;0
..addr;6272;64;;0
..misc;6336;64;;0
...bank1.status;6400;64;;0
..addr;6464;64;;0
..misc;6528;64;;0
...bank2.status;6592;64;;0
..addr;6656;64;;0
..misc;6720;64;;0
...bank3.status;6784;64;;0
..addr;6848;64;;0
..misc;6912;64;;0
....core9.bank0.status;6976;64;;0
..addr;7040;64;;0
..misc;7104;64;;0
...bank1.status;7168;64;;0
..addr;7232;64;;0
..misc;7296;64;;0
...bank2.status;7360;64;;0
..addr;7424;64;;0
..misc;7488;64;;0
...bank3.status;7552;64;;0
..addr;7616;64;;0
..misc;7680;64;;0
....core10.bank0.status;7744;64;;0
..addr;7808;64;;0
..misc;7872;64;;0
...bank1.status;7936;64;;0
..addr;8000;64;;0
..misc;8064;64;;0
...bank2.status;8128;64;;0
..addr;8192;64;;0
..misc;8256;64;;0
...bank3.status;8320;64;;0
..addr;8384;64;;0
..misc;8448;64;;0
....core11.bank0.status;8512;64;;0
..addr;8576;64;;0
..misc;8640;64;;0
...bank1.status;8704;64;;0
..addr;8768;64;;0
..misc;8832;64;;0
...bank2.status;8896;64;;0
..addr;8960;64;;0
..misc;9024;64;;0
...bank3.status;9088;64;;0
..addr;9152;64;;0
..misc;9216;64;;0
....core12.bank0.status;9280;64;;0
..addr;9344;64;;0
..misc;9408;64;;0
...bank1.status;9472;64;;0
..addr;9536;64;;0
..misc;9600;64;;0
...bank2.status;9664;64;;0
..addr;9728;64;;0
..misc;9792;64;;0
...bank3.status;9856;64;;0
..addr;9920;64;;0
..misc;9984;64;;0
....core13.bank0.status;10048;64;;0
..addr;10112;64;;0
..misc;10176;64;;0
...bank1.status;10240;64;;0
..addr;10304;64;;0
..misc;10368;64;;0
...bank2.status;10432;64;;0
..addr;10496;64;;0
..misc;10560;64;;0
...bank3.status;10624;64;;0
..addr;10688;64;;0
..misc;10752;64;;0
