name;offset;size;description;bitfield
lbr;0;6464;;0
lbr.lbr_ctl;0;64;;0
lbr.lbr_ctl.lbren;0;1;;1
lbr.lbr_ctl.os;1;1;;1
lbr.lbr_ctl.usr;2;1;;1
lbr.lbr_ctl.call_stack;3;1;;1
lbr.lbr_ctl.jcc;16;1;;1
lbr.lbr_ctl.near_rel_jmp;17;1;;1
lbr.lbr_ctl.near_indirect_jmp;18;1;;1
lbr.lbr_ctl.near_rel_call;19;1;;1
lbr.lbr_ctl.near_indirect_call;20;1;;1
lbr.lbr_ctl.near_ret;21;1;;1
lbr.lbr_ctl.far_branch;22;1;;1
lbr.lbr_depth;64;64;;0
lbr.ler_from;128;64;;0
lbr.ler_to;192;64;;0
lbr.ler_info;256;64;;0
lbr.lbr0_from;320;64;;0
lbr.lbr0_to;384;64;;0
lbr.lbr0_info;448;64;;0
lbr.lbr1_from;512;64;;0
lbr.lbr1_to;576;64;;0
lbr.lbr1_info;640;64;;0
lbr.lbr2_from;704;64;;0
lbr.lbr2_to;768;64;;0
lbr.lbr2_info;832;64;;0
lbr.lbr3_from;896;64;;0
lbr.lbr3_to;960;64;;0
lbr.lbr3_info;1024;64;;0
lbr.lbr4_from;1088;64;;0
lbr.lbr4_to;1152;64;;0
lbr.lbr4_info;1216;64;;0
lbr.lbr5_from;1280;64;;0
lbr.lbr5_to;1344;64;;0
lbr.lbr5_info;1408;64;;0
lbr.lbr6_from;1472;64;;0
lbr.lbr6_to;1536;64;;0
lbr.lbr6_info;1600;64;;0
lbr.lbr7_from;1664;64;;0
lbr.lbr7_to;1728;64;;0
lbr.lbr7_info;1792;64;;0
lbr.lbr8_from;1856;64;;0
lbr.lbr8_to;1920;64;;0
lbr.lbr8_info;1984;64;;0
lbr.lbr9_from;2048;64;;0
lbr.lbr9_to;2112;64;;0
lbr.lbr9_info;2176;64;;0
lbr.lbr10_from;2240;64;;0
lbr.lbr10_to;2304;64;;0
lbr.lbr10_info;2368;64;;0
lbr.lbr11_from;2432;64;;0
lbr.lbr11_to;2496;64;;0
lbr.lbr11_info;2560;64;;0
lbr.lbr12_from;2624;64;;0
lbr.lbr12_to;2688;64;;0
lbr.lbr12_info;2752;64;;0
lbr.lbr13_from;2816;64;;0
lbr.lbr13_to;2880;64;;0
lbr.lbr13_info;2944;64;;0
lbr.lbr14_from;3008;64;;0
lbr.lbr14_to;3072;64;;0
lbr.lbr14_info;3136;64;;0
lbr.lbr15_from;3200;64;;0
lbr.lbr15_to;3264;64;;0
lbr.lbr15_info;3328;64;;0
lbr.lbr16_from;3392;64;;0
lbr.lbr16_to;3456;64;;0
lbr.lbr16_info;3520;64;;0
lbr.lbr17_from;3584;64;;0
lbr.lbr17_to;3648;64;;0
lbr.lbr17_info;3712;64;;0
lbr.lbr18_from;3776;64;;0
lbr.lbr18_to;3840;64;;0
lbr.lbr18_info;3904;64;;0
lbr.lbr19_from;3968;64;;0
lbr.lbr19_to;4032;64;;0
lbr.lbr19_info;4096;64;;0
lbr.lbr20_from;4160;64;;0
lbr.lbr20_to;4224;64;;0
lbr.lbr20_info;4288;64;;0
lbr.lbr21_from;4352;64;;0
lbr.lbr21_to;4416;64;;0
lbr.lbr21_info;4480;64;;0
lbr.lbr22_from;4544;64;;0
lbr.lbr22_to;4608;64;;0
lbr.lbr22_info;4672;64;;0
lbr.lbr23_from;4736;64;;0
lbr.lbr23_to;4800;64;;0
lbr.lbr23_info;4864;64;;0
lbr.lbr24_from;4928;64;;0
lbr.lbr24_to;4992;64;;0
lbr.lbr24_info;5056;64;;0
lbr.lbr25_from;5120;64;;0
lbr.lbr25_to;5184;64;;0
lbr.lbr25_info;5248;64;;0
lbr.lbr26_from;5312;64;;0
lbr.lbr26_to;5376;64;;0
lbr.lbr26_info;5440;64;;0
lbr.lbr27_from;5504;64;;0
lbr.lbr27_to;5568;64;;0
lbr.lbr27_info;5632;64;;0
lbr.lbr28_from;5696;64;;0
lbr.lbr28_to;5760;64;;0
lbr.lbr28_info;5824;64;;0
lbr.lbr29_from;5888;64;;0
lbr.lbr29_to;5952;64;;0
lbr.lbr29_info;6016;64;;0
lbr.lbr30_from;6080;64;;0
lbr.lbr30_to;6144;64;;0
lbr.lbr30_info;6208;64;;0
lbr.lbr31_from;6272;64;;0
lbr.lbr31_to;6336;64;;0
lbr.lbr31_info;6400;64;;0
