name;offset;size;description;bitfield
sq;0;4096;;0
sq.entry0;0;64;;0
sq.entry0.valid;0;1;;1
sq.entry0.fsm_state;1;6;;1
sq.entry0.req_type;7;7;;1
sq.entry0.addr;14;36;;1
sq.entry1;64;64;;0
sq.entry1.valid;64;1;;1
sq.entry1.fsm_state;65;6;;1
sq.entry1.req_type;71;7;;1
sq.entry1.addr;78;36;;1
sq.entry2;128;64;;0
sq.entry2.valid;128;1;;1
sq.entry2.fsm_state;129;6;;1
sq.entry2.req_type;135;7;;1
sq.entry2.addr;142;36;;1
sq.entry3;192;64;;0
sq.entry3.valid;192;1;;1
sq.entry3.fsm_state;193;6;;1
sq.entry3.req_type;199;7;;1
sq.entry3.addr;206;36;;1
sq.entry4;256;64;;0
sq.entry4.valid;256;1;;1
sq.entry4.fsm_state;257;6;;1
sq.entry4.req_type;263;7;;1
sq.entry4.addr;270;36;;1
sq.entry5;320;64;;0
sq.entry5.valid;320;1;;1
sq.entry5.fsm_state;321;6;;1
sq.entry5.req_type;327;7;;1
sq.entry5.addr;334;36;;1
sq.entry6;384;64;;0
sq.entry6.valid;384;1;;1
sq.entry6.fsm_state;385;6;;1
sq.entry6.req_type;391;7;;1
sq.entry6.addr;398;36;;1
sq.entry7;448;64;;0
sq.entry7.valid;448;1;;1
sq.entry7.fsm_state;449;6;;1
sq.entry7.req_type;455;7;;1
sq.entry7.addr;462;36;;1
sq.entry8;512;64;;0
sq.entry8.valid;512;1;;1
sq.entry8.fsm_state;513;6;;1
sq.entry8.req_type;519;7;;1
sq.entry8.addr;526;36;;1
sq.entry9;576;64;;0
sq.entry9.valid;576;1;;1
sq.entry9.fsm_state;577;6;;1
sq.entry9.req_type;583;7;;1
sq.entry9.addr;590;36;;1
sq.entry10;640;64;;0
sq.entry10.valid;640;1;;1
sq.entry10.fsm_state;641;6;;1
sq.entry10.req_type;647;7;;1
sq.entry10.addr;654;36;;1
sq.entry11;704;64;;0
sq.entry11.valid;704;1;;1
sq.entry11.fsm_state;705;6;;1
sq.entry11.req_type;711;7;;1
sq.entry11.addr;718;36;;1
sq.entry12;768;64;;0
