name;offset;size;description;bitfield
thread;0;5184;;0
thread.hdr.version;0;32;This header field contains the Crash Log version number. Expected value: 04052401H;0
thread.hdr.version.revision;0;8;;1
thread.hdr.version.header_type;8;4;;1
thread.hdr.version.product_id;12;12;;1
thread.hdr.version.record_type;24;6;;1
thread.hdr.version.cldic;30;1;;1
thread.hdr.version.consumed;31;1;;1
thread.hdr.record_size;32;32;;0
thread.hdr.record_size.thread_size;32;16;;1
thread.hdr.record_size.sq_size;48;16;;1
thread.hdr.timestamp;64;64;;0
thread.hdr.timestamp.low;64;32;;1
thread.hdr.timestamp.high;96;32;;1
thread.hdr.fw_version;128;32;;0
thread.hdr.reason;160;32;;0
thread.hdr.whoami;192;32;;0
thread.hdr.whoami.thread_id;192;1;;1
thread.hdr.whoami.core_id;193;7;;1
thread.hdr.whoami.package_id;200;18;;1
thread.hdr.whoami.bsp;223;1;;1
thread.hdr.misc_status;224;32;;0
thread.hdr.misc_status.st_mt;224;1;;1
thread.hdr.misc_status.sgx;225;1;;1
thread.hdr.misc_status.ler_lbr;226;1;;1
thread.hdr.misc_status.sq;227;1;;1
thread.hdr.misc_status.tdx_seam;228;1;;1
thread.arch_state.cr0;256;32;;0
thread.arch_state.cr0.pe;256;1;;1
thread.arch_state.cr0.mp;257;1;;1
thread.arch_state.cr0.em;258;1;;1
thread.arch_state.cr0.ts;259;1;;1
thread.arch_state.cr0.et;260;1;;1
thread.arch_state.cr0.ne;261;1;;1
thread.arch_state.cr0.wp;272;1;;1
thread.arch_state.cr0.am;274;1;;1
thread.arch_state.cr0.nw;285;1;;1
thread.arch_state.cr0.cd;286;1;;1
thread.arch_state.cr0.pg;287;1;;1
thread.arch_state.cr4;288;32;;0
thread.arch_state.cr4.vme;288;1;;1
thread.arch_state.cr4.pvi;289;1;;1
thread.arch_state.cr4.tsd;290;1;;1
thread.arch_state.cr4.de;291;1;;1
thread.arch_state.cr4.pse;292;1;;1
thread.arch_state.cr4.pae;293;1;;1
thread.arch_state.cr4.mce;294;1;;1
thread.arch_state.cr4.pge;295;1;;1
thread.arch_state.cr4.pce;296;1;;1
thread.arch_state.cr4.osfxsr;297;1;;1
thread.arch_state.cr4.xmmexc;298;1;;1
thread.arch_state.cr4.umip;299;1;;1
thread.arch_state.cr4.la57;300;1;;1
thread.arch_state.cr4.vmx_enable;301;1;;1
thread.arch_state.cr4.smx_enable;302;1;;1
thread.arch_state.cr4.rsvd_15;303;1;;1
thread.arch_state.cr4.fs_gs_base;304;1;;1
thread.arch_state.cr4.pcide;305;1;;1
thread.arch_state.cr4.osxsave;306;1;;1
thread.arch_state.cr4.kl;307;1;;1
thread.arch_state.cr4.smep;308;1;;1
thread.arch_state.cr4.smap;309;1;;1
thread.arch_state.cr4.pke;310;1;;1
thread.arch_state.cr4.cet;311;1;;1
thread.arch_state.cr4.pks;312;1;;1
thread.arch_state.cr4.uint;313;1;;1
thread.arch_state.cr4.rsvd_26;314;1;;1
thread.arch_state.cr4.lass;315;1;;1
thread.arch_state.cr4.lam_sup;316;1;;1
thread.arch_state.cr4.rsvd_30_29;317;2;;1
thread.arch_state.cr2;320;64;;0
thread.arch_state.cr3;384;64;;0
thread.arch_state.efer;448;32;;0
thread.arch_state.efer.sce;448;1;;1
thread.arch_state.efer.lme;456;1;;1
thread.arch_state.efer.lma;458;1;;1
thread.arch_state.efer.nxe;459;1;;1
thread.arch_state.cs_selector;480;16;;0
thread.arch_state.ss_selector;496;16;;0
thread.arch_state.ds_selector;512;16;;0
thread.arch_state.es_selector;528;16;;0
thread.arch_state.fs_selector;544;16;;0
thread.arch_state.gs_selector;560;16;;0
thread.arch_state.rflags;576;64;;0
thread.arch_state.lip;640;64;;0
thread.arch_state.rax;704;64;;0
thread.arch_state.rcx;768;64;;0
thread.arch_state.rdx;832;64;;0
thread.arch_state.rbx;896;64;;0
thread.arch_state.rsp;960;64;;0
thread.arch_state.rbp;1024;64;;0
thread.arch_state.rsi;1088;64;;0
thread.arch_state.rdi;1152;64;;0
thread.arch_state.r8;1216;64;;0
thread.arch_state.r9;1280;64;;0
thread.arch_state.r10;1344;64;;0
thread.arch_state.r11;1408;64;;0
thread.arch_state.r12;1472;64;;0
thread.arch_state.r13;1536;64;;0
thread.arch_state.r14;1600;64;;0
thread.arch_state.r15;1664;64;;0
thread.arch_state.mca.bank0.ctl;1728;64;;0
thread.arch_state.mca.bank0.status;1792;64;;0
thread.arch_state.mca.bank0.addr;1856;64;;0
thread.arch_state.mca.bank0.misc;1920;64;;0
thread.arch_state.mca.bank1.ctl;1984;64;;0
thread.arch_state.mca.bank1.status;2048;64;;0
thread.arch_state.mca.bank1.addr;2112;64;;0
thread.arch_state.mca.bank1.misc;2176;64;;0
thread.arch_state.mca.bank2.ctl;2240;64;;0
thread.arch_state.mca.bank2.status;2304;64;;0
thread.arch_state.mca.bank2.addr;2368;64;;0
thread.arch_state.mca.bank2.misc;2432;64;;0
thread.arch_state.mca.bank3.ctl;2496;64;;0
thread.arch_state.mca.bank3.status;2560;64;;0
thread.arch_state.mca.bank3.addr;2624;64;;0
thread.arch_state.mca.bank3.misc;2688;64;;0
