name;offset;size;description;bitfield
mca;0;10496;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...record_size;32;32;;0
..timestamp;64;64;;0
.low;64;32;;1
..high;96;32;;1
...fw_version;128;32;;0
..reason;160;32;;0
..completion_status;192;32;;0
.completion_bit0;192;1;;1
..completion_bit1;193;1;;1
..completion_bit2;194;1;;1
..completion_bit3;195;1;;1
..completion_bit4;196;1;;1
..completion_bit5;197;1;;1
..completion_bit6;198;1;;1
..completion_bit7;199;1;;1
..record_completed;223;1;;1
....core0.thread0.bank0.ctl;224;64;;0
..status;288;64;;0
..addr;352;64;;0
..misc;416;64;;0
..misc2;480;64;;0
...bank1.ctl;544;64;;0
..status;608;64;;0
..addr;672;64;;0
..misc;736;64;;0
..misc2;800;64;;0
...bank2.ctl;864;64;;0
..status;928;64;;0
..addr;992;64;;0
..misc;1056;64;;0
..misc2;1120;64;;0
...bank3.ctl;1184;64;;0
..status;1248;64;;0
..addr;1312;64;;0
..misc;1376;64;;0
..misc2;1440;64;;0
....completion_bit0;192;1;;0
...core1.thread0.bank0.ctl;1504;64;;0
..status;1568;64;;0
..addr;1632;64;;0
..misc;1696;64;;0
..misc2;1760;64;;0
...bank1.ctl;1824;64;;0
..status;1888;64;;0
..addr;1952;64;;0
..misc;2016;64;;0
..misc2;2080;64;;0
...bank2.ctl;2144;64;;0
..status;2208;64;;0
..addr;2272;64;;0
..misc;2336;64;;0
..misc2;2400;64;;0
...bank3.ctl;2464;64;;0
..status;2528;64;;0
..addr;2592;64;;0
..misc;2656;64;;0
..misc2;2720;64;;0
....completion_bit1;193;1;;0
...core2.thread0.bank0.ctl;2784;64;;0
..status;2848;64;;0
..addr;2912;64;;0
..misc;2976;64;;0
..misc2;3040;64;;0
...bank1.ctl;3104;64;;0
..status;3168;64;;0
..addr;3232;64;;0
..misc;3296;64;;0
..misc2;3360;64;;0
...bank2.ctl;3424;64;;0
..status;3488;64;;0
..addr;3552;64;;0
..misc;3616;64;;0
..misc2;3680;64;;0
...bank3.ctl;3744;64;;0
..status;3808;64;;0
..addr;3872;64;;0
..misc;3936;64;;0
..misc2;4000;64;;0
....completion_bit2;194;1;;0
...core3.thread0.bank0.ctl;4064;64;;0
..status;4128;64;;0
..addr;4192;64;;0
..misc;4256;64;;0
..misc2;4320;64;;0
...bank1.ctl;4384;64;;0
..status;4448;64;;0
..addr;4512;64;;0
..misc;4576;64;;0
..misc2;4640;64;;0
...bank2.ctl;4704;64;;0
..status;4768;64;;0
..addr;4832;64;;0
..misc;4896;64;;0
..misc2;4960;64;;0
...bank3.ctl;5024;64;;0
..status;5088;64;;0
..addr;5152;64;;0
..misc;5216;64;;0
..misc2;5280;64;;0
....completion_bit3;195;1;;0
...core4.bank0.ctl;5344;64;;0
..status;5408;64;;0
..addr;5472;64;;0
..misc;5536;64;;0
..ctl2;5600;64;;0
...bank1.ctl;5664;64;;0
..status;5728;64;;0
..addr;5792;64;;0
..misc;5856;64;;0
..ctl2;5920;64;;0
...bank2.ctl;5984;64;;0
..status;6048;64;;0
..addr;6112;64;;0
..misc;6176;64;;0
..ctl2;6240;64;;0
...bank3.ctl;6304;64;;0
..status;6368;64;;0
..addr;6432;64;;0
..misc;6496;64;;0
..ctl2;6560;64;;0
...completion_bit4;196;1;;0
...core5.bank0.ctl;6624;64;;0
..status;6688;64;;0
..addr;6752;64;;0
..misc;6816;64;;0
..ctl2;6880;64;;0
...bank1.ctl;6944;64;;0
..status;7008;64;;0
..addr;7072;64;;0
..misc;7136;64;;0
..ctl2;7200;64;;0
...bank2.ctl;7264;64;;0
..status;7328;64;;0
..addr;7392;64;;0
..misc;7456;64;;0
..ctl2;7520;64;;0
...bank3.ctl;7584;64;;0
..status;7648;64;;0
..addr;7712;64;;0
..misc;7776;64;;0
..ctl2;7840;64;;0
...completion_bit5;197;1;;0
...core6.bank0.ctl;7904;64;;0
..status;7968;64;;0
..addr;8032;64;;0
..misc;8096;64;;0
..ctl2;8160;64;;0
...bank1.ctl;8224;64;;0
..status;8288;64;;0
..addr;8352;64;;0
..misc;8416;64;;0
..ctl2;8480;64;;0
...bank2.ctl;8544;64;;0
..status;8608;64;;0
..addr;8672;64;;0
..misc;8736;64;;0
..ctl2;8800;64;;0
...bank3.ctl;8864;64;;0
..status;8928;64;;0
..addr;8992;64;;0
..misc;9056;64;;0
..ctl2;9120;64;;0
...completion_bit6;198;1;;0
...core7.bank0.ctl;9184;64;;0
..status;9248;64;;0
..addr;9312;64;;0
..misc;9376;64;;0
..ctl2;9440;64;;0
...bank1.ctl;9504;64;;0
..status;9568;64;;0
..addr;9632;64;;0
..misc;9696;64;;0
..ctl2;9760;64;;0
...bank2.ctl;9824;64;;0
..status;9888;64;;0
..addr;9952;64;;0
..misc;10016;64;;0
..ctl2;10080;64;;0
...bank3.ctl;10144;64;;0
..status;10208;64;;0
..addr;10272;64;;0
..misc;10336;64;;0
..ctl2;10400;64;;0
...completion_bit7;199;1;;0
...checksum;10464;32;;0
