name;offset;size;description;bitfield
mca;0;1600;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...size;32;32;;0
...atom_core.module0.core0.bank2.status;64;64;;0
..addr;128;64;;0
..misc;192;64;;0
..ctl;256;64;;0
..ctl2;320;64;;0
...bank3.status;384;64;;0
..addr;448;64;;0
..misc;512;64;;0
..ctl;576;64;;0
..ctl2;640;64;;0
....core1.bank2.status;704;64;;0
..addr;768;64;;0
..misc;832;64;;0
..ctl;896;64;;0
..ctl2;960;64;;0
...bank3.status;1024;64;;0
..addr;1088;64;;0
..misc;1152;64;;0
..ctl;1216;64;;0
..ctl2;1280;64;;0
