name;offset;size;description;bitfield
pmc_rst;0;256;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...size;32;32;;0
...gblrst_req_0;64;32;;0
.secure_policy_err;64;1;;1
..pmc_unc_err;66;1;;1
..socs_thrm;67;1;;1
..me_pbo;68;1;;1
..socn_thrm;69;1;;1
..megbl;70;1;;1
..lt_reset;71;1;;1
..pmc_wdt;72;1;;1
..me_wdt;73;1;;1
..pmc_fw;74;1;;1
..pchpwr_flr;75;1;;1
..syspwr_flr;76;1;;1
..mia_uxs_err;78;1;;1
..mia_ux_err;79;1;;1
..cpu_thrm_wdt;80;1;;1
..me_unc_err;81;1;;1
..adr_gpio;82;1;;1
..ocwdt_noicc;83;1;;1
..ocwdt_icc;84;1;;1
..cse_hec_unc_err;85;1;;1
..pmc_sram_unc_err;86;1;;1
..pmc_irom_parity;87;1;;1
..pmc_rf_fusa_err;88;1;;1
..compute_thrm;89;1;;1
..gfx_thrm;90;1;;1
..base_thrm;91;1;;1
..ioe_thrm;92;1;;1
..reset_sync_b;93;1;;1
..ioe_grst_trigger;95;1;;1
...gblrst_cause_0;96;32;;0
.secure_policy_err;96;1;;1
..pmc_unc_err;98;1;;1
..socs_thrm;99;1;;1
..me_pbo;100;1;;1
..socn_thrm;101;1;;1
..megbl;102;1;;1
..lt_reset;103;1;;1
..pmc_wdt;104;1;;1
..me_wdt;105;1;;1
..pmc_fw;106;1;;1
..pchpwr_flr;107;1;;1
..syspwr_flr;108;1;;1
..mia_uxs_err;110;1;;1
..mia_ux_err;111;1;;1
..cpu_thrm_wdt;112;1;;1
..me_unc_err;113;1;;1
..adr_gpio;114;1;;1
..ocwdt_noicc;115;1;;1
..ocwdt_icc;116;1;;1
..cse_hec_unc_err;117;1;;1
..pmc_sram_unc_err;118;1;;1
..pmc_irom_parity;119;1;;1
..pmc_rf_fusa_err;120;1;;1
..compute_thrm;121;1;;1
..gfx_thrm;122;1;;1
..base_thrm;123;1;;1
..ioe_thrm;124;1;;1
..reset_sync_b;125;1;;1
..ioe_grst_trigger;127;1;;1
...fw_gblrst_cause_0;128;32;;0
.host_reset_timeout;128;1;;1
..sx_entry_timeout;129;1;;1
..host_rst_prom;130;1;;1
..hsmb_msg;131;1;;1
..pmc_3strike;132;1;;1
..pmc_dma_timeout;134;1;;1
..espi_type7;136;1;;1
..espi_type8;137;1;;1
..fw_gblrst_scratch10;138;1;;1
..fw_gblrst_scratch11;139;1;;1
..lpm_fw_err;140;1;;1
..bscan_mode;141;1;;1
..slp_lvl_rsp_err;142;1;;1
..fw_gblrst_scratch15;143;1;;1
..fw_gblrst_scratch16;144;1;;1
..fw_gblrst_scratch17;145;1;;1
..fw_gblrst_scratch18;146;1;;1
..fw_gblrst_scratch19;147;1;;1
..fw_gblrst_scratch20;148;1;;1
..fw_gblrst_scratch21;149;1;;1
..fw_gblrst_scratch22;150;1;;1
..fw_gblrst_scratch23;151;1;;1
...host_pr_cause_0;160;32;;0
.cf9;161;1;;1
..sysrst;162;1;;1
..ltrst;163;1;;1
..tco_wdt;166;1;;1
..mi_hr;168;1;;1
..hi_prpc;169;1;;1
..mi_hrpd;170;1;;1
..ve_wdt;171;1;;1
..hsmb_hr;172;1;;1
..hsmb_hrpc;173;1;;1
..lt_slperr;174;1;;1
..gbl_to_host;175;1;;1
..espi_rwopc;176;1;;1
..espi_rwpc;177;1;;1
...pch_pm_sts2;192;32;;0
.eva_l23;192;1;;1
..xhci_hrhs;193;1;;1
..sp_l23;194;1;;1
..smb_srhs;195;1;;1
..dmi_l23;196;1;;1
..cpu_s1_ack;197;1;;1
..cpu_s345rw_ack;198;1;;1
..xck_hrhs;199;1;;1
..spi_hrhs;200;1;;1
..exi_state_trans_ack;201;1;;1
..smt_rst_ack;202;1;;1
..pschs_ack;203;1;;1
..pinstop_ack;204;1;;1
..me_hbpd;205;1;;1
..crd;206;1;;1
..rsvd_23_15;207;9;;1
..cpuid_pinfo_rsp_to;216;1;;1
..me_patch_timeout;217;1;;1
..smt_rsp_data_of;218;1;;1
..mac_access_fail;219;1;;1
..mb_full;220;1;;1
..reg_conflict;221;1;;1
..pipe_slots_empty;222;1;;1
..invalid_int;223;1;;1
