name;offset;size;description;bitfield
core;0;2240;;0
core.hdr.version;0;32;This header field contains the Crash Log version number. Expected value: 0606D401H;0
core.hdr.version.revision;0;8;;1
core.hdr.version.header_type;8;4;;1
core.hdr.version.product_id;12;12;;1
core.hdr.version.record_type;24;6;;1
core.hdr.version.cldic;30;1;;1
core.hdr.version.consumed;31;1;;1
core.hdr.record_size;32;32;;0
core.hdr.record_size.thread_size;32;16;;1
core.hdr.record_size.module_size;48;16;;1
core.hdr.timestamp;64;64;;0
core.hdr.timestamp.low;64;32;;1
core.hdr.timestamp.high;96;32;;1
core.hdr.fw_version;128;32;;0
core.hdr.reason;160;32;;0
core.hdr.whoami;192;32;;0
core.hdr.whoami.thread_id;192;1;;1
core.hdr.whoami.core_id;193;2;;1
core.hdr.whoami.module_id;195;4;;1
core.hdr.whoami.package_id;199;9;;1
core.hdr.whoami.bsp;223;1;;1
core.hdr.misc;224;32;;0
core.arch_state.cr0;256;64;;0
core.arch_state.cr2;320;64;;0
core.arch_state.cr3;384;64;;0
core.arch_state.cr4;448;32;;0
core.arch_state.efer;480;32;;0
core.arch_state.lip;512;64;;0
core.arch_state.eflags;576;32;;0
core.arch_state.cs_selector;608;16;;0
core.arch_state.ss_selector;624;16;;0
core.arch_state.ds_selector;640;16;;0
core.arch_state.es_selector;656;16;;0
core.arch_state.fs_selector;672;16;;0
core.arch_state.gs_selector;688;16;;0
core.arch_state.rax;704;64;;0
core.arch_state.rcx;768;64;;0
core.arch_state.rdx;832;64;;0
core.arch_state.rbx;896;64;;0
core.arch_state.rsp;960;64;;0
core.arch_state.rbp;1024;64;;0
core.arch_state.rsi;1088;64;;0
core.arch_state.rdi;1152;64;;0
core.arch_state.r8;1216;64;;0
core.arch_state.r9;1280;64;;0
core.arch_state.r10;1344;64;;0
core.arch_state.r11;1408;64;;0
core.arch_state.r12;1472;64;;0
core.arch_state.r13;1536;64;;0
core.arch_state.r14;1600;64;;0
core.arch_state.r15;1664;64;;0
core.arch_state.mca.bank2.status;1728;64;;0
core.arch_state.mca.bank2.addr;1792;64;;0
core.arch_state.mca.bank2.misc;1856;64;;0
core.arch_state.mca.bank3.status;1920;64;;0
core.arch_state.mca.bank3.addr;1984;64;;0
core.arch_state.mca.bank3.misc;2048;64;;0
