name;offset;size;description;bitfield
pmc;0;20480;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...record_size;32;32;;0
..timestamp;64;64;;0
.low;64;32;;1
..high;96;32;;1
...fw_version;128;32;;0
..reason;160;32;;0
..completion_status;192;32;;0
.record_completed;223;1;;1
....pmu.gblrst_cause_0;320;32;;0
.pb_ovr;321;1;;1
..pmc_unc_err;322;1;;1
..ich_cat_tmp;323;1;;1
..me_pbo;324;1;;1
..cpu_trip;325;1;;1
..me_gbl;326;1;;1
..ltrst_pol1;327;1;;1
..pmc_wdt;328;1;;1
..me_wdt;329;1;;1
..pmc_fw;330;1;;1
..pchpwr_flr;331;1;;1
..syspwr_flr;332;1;;1
..ish_grst;333;1;;1
..mia_ux_err;334;1;;1
..mia_uxs_err;335;1;;1
..cpu_thrm_wdt;336;1;;1
..me_uncor_err;337;1;;1
..adr_gpio_rst;338;1;;1
..oc_wdt_exp_no_iccsurv;339;1;;1
..oc_wdt_exp_iccsurv;340;1;;1
..cse_hec_unc_error;341;1;;1
..pmc_sram_uncorrectable_error;342;1;;1
..pmc_irom_parity_error;343;1;;1
..pmc_rf_fusa_error;344;1;;1
...fw_gblrst_cause_0;352;16;;0
.host_reset_timeout;352;1;;1
..sx_entry_timeout;353;1;;1
..host_rst_prom;354;1;;1
..hsmb_msg;355;1;;1
..pmc_3strike;356;1;;1
..me_set_pbo_sts;357;1;;1
..fw_gblrst_scratch6;358;1;;1
..mtp_timeout;359;1;;1
..espi_type7;360;1;;1
..espi_type8;361;1;;1
..fw_gblrst_scratch15_10;362;6;;1
...host_pr_cause_0;368;24;;0
.cf9;369;1;;1
..sysrst;370;1;;1
..ltrst;371;1;;1
..tco_wdt;374;1;;1
..mi_hr;376;1;;1
..hi_prpc;377;1;;1
..mi_hrpd;378;1;;1
..ve_wdt;379;1;;1
..hsmb_hr;380;1;;1
..hsmb_hrpc;381;1;;1
..lt_slperr;382;1;;1
..gbl_to_host;383;1;;1
..espi_rwopc;384;1;;1
..espi_rwpc;385;1;;1
....pcie0.port0.cfg.res;2496;16;;0
.cr;2496;1;;1
..mcr;2497;1;;1
..enr;2498;1;;1
..menr;2499;1;;1
..fuf;2500;1;;1
..nfemr;2501;1;;1
